,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
"Countries, territories and areas", 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years, 0-27 days, 1-59 months, 0-4 years
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,1.5,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,1.4,0.0,0.0,0.6,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.7,0.0
Kazakhstan,0.2,14.4,0.2,0.2,11.3,0.2,0.1,8.3,0.1,0.2,9.4,0.2,0.2,9.0,0.2,0.1,7.3,0.1,0.1,6.3,0.1,0.1,7.4,0.1,0.2,10.4,0.2,0.2,9.4,0.2,0.2,12.1,0.2,0.2,13.0,0.2,0.3,15.3,0.3,0.3,16.8,0.3,0.3,15.6,0.3,0.2,11.6,0.2,0.2,9.0,0.2,0.1,6.2,0.1,0.1,3.4,0.1,0.0,2.7,0.0,0.0,2.7,0.0,0.0,2.0,0.0
Kenya,14.1,832.2,14.1,17.3,1022.7,17.3,14.9,880.4,14.9,16.8,990.1,16.8,20.9,1232.0,20.9,23.0,1355.2,23.0,30.5,1800.0,30.5,39.5,2330.7,39.5,48.3,2849.4,48.3,58.0,3421.1,58.0,63.0,3715.1,63.0,71.5,4216.6,71.5,83.9,4948.9,83.9,111.6,6581.5,111.6,147.6,8711.1,147.6,171.5,10116.9,171.5,195.8,11553.8,195.8,223.3,13171.9,223.3,245.6,14490.1,245.6,271.4,16013.0,271.4,296.1,17467.3,296.1,319.5,18849.9,319.5
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyrgyzstan,0.2,0.3,0.2,0.4,0.3,0.4,0.5,0.3,0.5,0.5,0.3,0.5,0.6,0.4,0.6,0.6,1.2,0.6,0.7,0.0,0.7,0.6,0.0,0.6,0.5,1.2,0.5,0.4,1.3,0.4,0.3,1.3,0.3,0.3,1.4,0.3,0.4,8.2,0.4,0.3,5.7,0.3,0.2,5.0,0.2,0.1,0.0,0.1,0.1,3.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao People's Democratic Republic,0.3,16.7,0.3,0.4,22.1,0.4,0.4,23.6,0.4,0.4,24.4,0.4,0.4,25.9,0.4,0.4,25.2,0.4,0.5,26.7,0.5,0.5,27.5,0.5,0.5,27.7,0.5,0.5,27.9,0.5,0.5,27.2,0.5,0.5,28.0,0.5,0.5,29.7,0.5,0.5,29.9,0.5,0.5,27.7,0.5,0.5,27.8,0.5,0.5,28.0,0.5,0.4,25.8,0.4,0.4,23.5,0.4,0.3,20.4,0.3,0.3,17.3,0.3,0.2,14.1,0.2
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lebanon,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.7,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,1.1,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,2.3,0.0
Lesotho,10.2,603.3,10.2,11.3,669.2,11.3,11.5,676.7,11.5,9.4,554.3,9.4,7.4,437.0,7.4,8.9,527.1,8.9,13.3,784.1,13.3,13.4,791.7,13.4,13.2,777.2,13.2,13.6,803.4,13.6,15.1,890.8,15.1,18.0,1062.5,18.0,25.9,1525.8,25.9,34.6,2042.0,34.6,36.3,2139.4,36.3,38.8,2290.2,38.8,38.9,2297.9,38.9,38.6,2280.1,38.6,38.3,2261.3,38.3,37.7,2223.3,37.7,36.9,2178.7,36.9,36.0,2125.0,36.0
Liberia,1.7,98.5,1.7,1.9,111.2,1.9,1.8,105.4,1.8,2.2,130.1,2.2,2.9,170.0,2.9,3.5,204.3,3.5,4.0,235.8,4.0,4.6,269.2,4.6,4.4,258.0,4.4,4.7,277.2,4.7,5.4,321.3,5.4,6.0,354.7,6.0,6.8,403.8,6.8,7.5,444.7,7.5,8.1,478.0,8.1,8.2,483.4,8.2,8.4,495.0,8.4,8.8,519.7,8.8,9.3,550.4,9.3,9.7,572.1,9.7,9.9,584.6,9.9,10.0,587.3,10.0
Libya,0.1,5.4,0.1,0.1,5.1,0.1,0.1,6.0,0.1,0.1,6.1,0.1,0.1,6.5,0.1,0.1,6.9,0.1,0.1,7.8,0.1,0.2,9.3,0.2,0.2,10.5,0.2,0.2,11.0,0.2,0.2,14.6,0.2,0.2,11.3,0.2,0.2,11.3,0.2,0.2,11.0,0.2,0.2,10.5,0.2,0.2,9.6,0.2,0.2,9.1,0.2,0.1,7.7,0.1,0.1,6.4,0.1,0.1,5.7,0.1,0.1,4.9,0.1,0.1,4.2,0.1
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,11.3,669.1,11.3,9.9,583.4,9.9,8.7,511.1,8.7,7.7,453.4,7.7,6.9,404.3,6.9,5.8,343.8,5.8,4.8,286.0,4.8,4.1,240.8,4.1,3.4,199.1,3.4,2.8,164.3,2.8,2.3,138.3,2.3,2.0,120.0,2.0,1.7,97.7,1.7,1.3,79.4,1.3,1.1,63.3,1.1,0.9,50.7,0.9,0.7,40.7,0.7,0.5,31.8,0.5,0.4,25.3,0.4,0.3,19.6,0.3,0.3,14.8,0.3,0.2,10.9,0.2
Malawi,10.1,594.5,10.1,11.6,682.4,11.6,15.2,896.7,15.2,19.0,1119.8,19.0,25.3,1492.8,25.3,30.8,1815.6,30.8,36.7,2165.9,36.7,41.2,2432.7,41.2,52.8,3116.3,52.8,70.9,4183.4,70.9,86.5,5104.5,86.5,100.6,5937.6,100.6,110.2,6503.0,110.2,124.6,7351.8,124.6,144.3,8515.5,144.3,151.9,8960.7,151.9,161.4,9523.3,161.4,172.9,10200.8,172.9,187.8,11078.5,187.8,204.4,12059.8,204.4,221.3,13056.5,221.3,235.4,13885.8,235.4
Malaysia,0.0,1.3,0.0,0.0,1.3,0.0,0.0,1.3,0.0,0.0,1.9,0.0,0.0,2.6,0.0,0.1,5.0,0.1,0.1,8.0,0.1,0.2,11.8,0.2,0.2,11.8,0.2,0.2,12.5,0.2,0.2,12.5,0.2,0.2,11.2,0.2,0.2,11.9,0.2,0.2,12.3,0.2,0.2,13.6,0.2,0.2,13.3,0.2,0.2,13.2,0.2,0.2,13.4,0.2,0.2,13.7,0.2,0.2,14.1,0.2,0.3,15.8,0.3,0.3,16.5,0.3
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,9.9,583.8,9.9,10.5,622.2,10.5,10.2,600.3,10.2,10.6,624.0,10.6,10.4,614.7,10.4,10.7,630.4,10.7,11.1,654.3,11.1,11.1,654.2,11.1,10.6,626.3,10.6,10.2,602.8,10.2,11.7,690.2,11.7,13.7,808.8,13.7,15.5,914.1,15.5,17.4,1025.7,17.4,17.5,1030.1,17.5,18.4,1086.1,18.4,18.7,1105.0,18.7,18.6,1100.0,18.6,18.7,1101.4,18.7,18.7,1100.7,18.7,18.5,1093.6,18.5,18.4,1084.4,18.4
Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0.5,28.3,0.5,0.5,27.5,0.5,0.5,27.9,0.5,0.5,31.9,0.5,0.5,29.3,0.5,0.4,25.7,0.4,0.4,25.1,0.4,0.6,32.5,0.6,0.7,40.6,0.7,0.7,40.3,0.7,0.7,40.4,0.7,0.7,42.3,0.7,0.7,44.0,0.7,0.8,47.3,0.8,0.9,50.4,0.9,0.9,54.7,0.9,1.0,59.2,1.0,1.1,63.4,1.1,1.1,67.8,1.1,1.2,72.2,1.2,1.3,75.4,1.3,1.3,76.2,1.3
Mauritius,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.1,27.5,0.1,0.2,28.3,0.2,0.2,31.0,0.2,0.1,33.7,0.1,0.4,37.7,0.4,0.0,48.6,0.0,0.0,50.4,0.0,1.2,39.9,1.2,1.2,60.3,1.2,3.4,56.9,3.4,3.4,78.6,3.4,2.3,69.2,2.3,3.4,101.1,3.4,1.2,103.3,1.2,5.8,105.8,5.8,0.0,111.8,0.0,0.0,93.6,0.0,3.7,136.2,3.7,1.3,137.6,1.3,1.3,102.4,1.3,1.4,85.8,1.4,4.3,87.3,4.3
Micronesia (Federated States of),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mongolia,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.5,27.0,0.5,0.6,33.3,0.6,0.7,38.5,0.7,0.7,43.2,0.7,0.8,46.3,0.8,0.8,44.7,0.8,0.7,44.2,0.7,0.9,54.0,0.9,1.0,61.2,1.0,1.1,66.3,1.1,1.2,72.6,1.2,1.3,74.6,1.3,1.4,79.9,1.4,1.4,84.6,1.4,1.5,86.5,1.5,1.4,84.9,1.4,1.4,83.4,1.4,1.4,82.0,1.4,1.3,78.9,1.3,1.3,74.9,1.3,1.2,71.9,1.2,1.2,68.2,1.2
Mozambique,63.0,3719.3,63.0,65.3,3853.0,65.3,63.2,3729.3,63.2,67.0,3954.7,67.0,65.5,3865.2,65.5,65.7,3875.5,65.7,71.9,4242.6,71.9,86.2,5084.7,86.2,96.4,5688.5,96.4,108.8,6417.7,108.8,119.1,7026.4,119.1,128.7,7595.4,128.7,123.1,7260.5,123.1,135.9,8019.0,135.9,147.4,8698.9,147.4,165.9,9790.9,165.9,169.4,9993.7,169.4,170.4,10053.0,170.4,169.0,9972.5,169.0,165.1,9740.9,165.1,158.9,9376.3,158.9,150.8,8897.7,150.8
Myanmar,6.6,391.2,6.6,4.7,275.3,4.7,4.5,267.2,4.5,3.9,231.6,3.9,3.0,176.6,3.0,3.6,212.6,3.6,4.2,250.3,4.2,5.0,293.5,5.0,6.1,359.5,6.1,6.9,408.2,6.9,7.6,450.6,7.6,8.8,517.0,8.8,10.1,595.9,10.1,16.5,970.7,16.5,12.0,710.3,12.0,12.3,725.2,12.3,12.3,726.8,12.3,11.9,704.0,11.9,11.3,667.4,11.3,10.3,607.2,10.3,9.0,528.5,9.0,7.6,449.8,7.6
Namibia,2.2,129.1,2.2,2.3,133.0,2.3,2.7,160.2,2.7,3.2,191.2,3.2,3.2,191.2,3.2,3.6,212.7,3.6,3.8,221.8,3.8,2.8,166.9,2.8,4.9,290.9,4.9,7.0,412.8,7.0,6.2,367.1,6.2,6.9,404.3,6.9,9.3,550.0,9.3,11.9,699.4,11.9,16.1,949.3,16.1,18.9,1114.8,18.9,22.3,1312.8,22.3,24.7,1458.5,24.7,24.9,1466.6,24.9,25.5,1503.4,25.5,26.1,1542.3,26.1,26.4,1559.6,26.4
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,0.2,10.1,0.2,0.3,15.7,0.3,0.3,16.4,0.3,0.3,20.0,0.3,0.4,25.9,0.4,0.5,32.0,0.5,0.6,38.2,0.6,0.8,44.3,0.8,0.9,51.0,0.9,1.1,62.8,1.1,1.2,73.5,1.2,1.4,82.7,1.4,1.6,96.5,1.6,1.8,104.6,1.8,1.8,107.8,1.8,1.8,107.5,1.8,1.8,108.1,1.8,1.8,104.5,1.8,1.6,96.6,1.6,1.4,85.1,1.4,1.2,70.6,1.2,0.9,53.9,0.9
Netherlands (Kingdom of the),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.7,0.0,0.0,1.1,0.0,0.0,1.2,0.0,0.0,1.3,0.0,0.0,1.4,0.0,0.0,1.5,0.0,0.0,1.7,0.0,0.0,1.8,0.0,0.0,2.1,0.0,0.0,2.3,0.0,0.0,2.5,0.0,0.0,2.7,0.0,0.0,2.9,0.0,0.0,3.1,0.0,0.0,3.3,0.0
Niger,4.0,238.7,4.0,4.0,235.6,4.0,3.8,222.9,3.8,3.4,200.9,3.4,2.9,171.6,2.9,2.6,151.7,2.6,3.6,212.5,3.6,2.8,165.1,2.8,3.0,178.7,3.0,3.5,206.3,3.5,3.9,228.1,3.9,4.7,277.4,4.7,6.6,392.0,6.6,7.4,436.3,7.4,8.3,488.3,8.3,8.8,518.3,8.8,9.2,544.7,9.2,9.7,575.1,9.7,10.3,608.0,10.3,10.6,626.2,10.6,10.7,632.8,10.7,10.6,623.7,10.6
Nigeria,177.3,10462.8,177.3,185.3,10930.9,185.3,181.6,10713.8,181.6,169.0,9972.6,169.0,163.2,9626.2,163.2,151.0,8907.8,151.0,151.1,8916.4,151.1,152.0,8966.5,152.0,172.1,10155.1,172.1,198.3,11697.8,198.3,204.1,12042.1,204.1,210.4,12411.9,210.4,216.8,12793.2,216.8,227.8,13440.8,227.8,248.3,14650.5,248.3,263.6,15551.8,263.6,278.3,16418.0,278.3,280.0,16522.5,280.0,283.3,16717.4,283.3,286.1,16877.7,286.1,286.9,16927.0,286.9,283.7,16741.0,283.7
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
Oman,0.1,4.2,0.1,0.1,4.4,0.1,0.1,3.9,0.1,0.1,3.0,0.1,0.0,2.9,0.0,0.1,3.2,0.1,0.1,3.1,0.1,0.1,3.0,0.1,0.0,1.9,0.0,0.0,1.8,0.0,0.0,1.7,0.0,0.0,1.6,0.0,0.1,3.6,0.1,0.1,3.4,0.1,0.1,3.2,0.1,0.1,3.1,0.1,0.1,3.1,0.1,0.1,3.4,0.1,0.1,3.3,0.1,0.1,3.7,0.1,0.1,3.7,0.1,0.1,3.8,0.1
Pakistan,6.6,386.7,6.6,7.1,417.1,7.1,7.2,422.7,7.2,6.8,400.1,6.8,6.4,377.2,6.4,6.0,355.3,6.0,5.5,326.3,5.5,5.1,299.1,5.1,4.5,264.5,4.5,3.9,228.1,3.9,3.1,181.0,3.1,2.4,140.7,2.4,1.8,103.3,1.8,1.2,71.1,1.2,0.7,43.6,0.7,0.4,24.0,0.4,0.2,13.0,0.2,0.1,6.5,0.1,0.1,4.7,0.1,0.1,3.7,0.1,0.0,2.8,0.0,0.0,2.8,0.0
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,2.7,0.0,0.0,2.8,0.0,0.0,3.0,0.0,0.0,3.1,0.0,0.0,3.2,0.0,0.0,3.9,0.0,0.0,3.3,0.0,0.0,3.0,0.0,0.0,4.9,0.0,0.0,2.1,0.0,0.0,1.2,0.0,1.9,4.5,1.9,0.0,3.5,0.0,0.0,3.8,0.0,1.8,10.0,1.8,0.0,6.4,0.0,1.8,8.0,1.8,0.0,15.0,0.0,2.1,7.5,2.1,2.1,9.3,2.1,0.0,8.1,0.0,0.0,13.0,0.0
Papua New Guinea,3.0,178.5,3.0,2.6,153.9,2.6,2.5,150.0,2.5,2.8,166.4,2.8,2.9,172.0,2.9,2.9,169.5,2.9,2.7,160.7,2.7,2.7,158.1,2.7,2.8,165.1,2.8,2.9,169.6,2.9,2.9,170.4,2.9,2.9,170.8,2.9,2.9,168.9,2.9,3.2,191.6,3.2,3.4,200.9,3.4,3.4,197.8,3.4,3.2,191.1,3.2,3.1,180.2,3.1,2.8,162.9,2.8,2.4,141.2,2.4,2.0,116.0,2.0,1.6,91.5,1.6
